comment,emotion
I had a terrible experience with customer support.,annoyance
This is the worst feature they've ever added.,realization
This is the worst feature they've ever added.,sadness
I had a terrible experience with customer support.,admiration
"I'm so happy with the new design, it looks fantastic!",amusement
"I'm so happy with the new design, it looks fantastic!",surprise
I had a terrible experience with customer support.,neutral
Why would they change this? It's confusing now.,surprise
I'm angry that they ignored our feedback.,fear
"So excited about the upcoming features, can't wait to try them!",disgust
This whole situation is just embarrassing.,sadness
I love this new product! It's amazing.,love
I'm angry that they ignored our feedback.,remorse
I had a terrible experience with customer support.,grief
This is the worst feature they've ever added.,joy
"I'm curious about the new release, it sounds interesting.",confusion
"The team did a great job, much appreciated.",neutral
I love this new product! It's amazing.,desire
"I'm so happy with the new design, it looks fantastic!",remorse
"Feeling nervous about the new update, hope it goes well.",admiration
"Can't believe how great the service was, really impressed.",embarrassment
This product makes me feel so joyful and carefree!,remorse
This product makes me feel so joyful and carefree!,embarrassment
"Wow, that was a surprise! Didn't expect this feature.",approval
"So excited about the upcoming features, can't wait to try them!",surprise
"So excited about the upcoming features, can't wait to try them!",desire
Why would they change this? It's confusing now.,disapproval
"Feeling nervous about the new update, hope it goes well.",sadness
Why would they change this? It's confusing now.,annoyance
I had a terrible experience with customer support.,realization
"This update is so frustrating, nothing works.",embarrassment
"The team did a great job, much appreciated.",optimism
I had a terrible experience with customer support.,curiosity
"This update is so frustrating, nothing works.",anger
"Finally, something that works! I'm relieved.",fear
"Feeling nervous about the new update, hope it goes well.",caring
"Finally, something that works! I'm relieved.",embarrassment
I desire a better version of this app.,relief
"The team did a great job, much appreciated.",confusion
Feeling really proud to be part of this community.,approval
I had a terrible experience with customer support.,disappointment
I'm angry that they ignored our feedback.,relief
"Can't believe how great the service was, really impressed.",amusement
I'm angry that they ignored our feedback.,love
"Wow, that was a surprise! Didn't expect this feature.",curiosity
I love this new product! It's amazing.,sadness
I desire a better version of this app.,sadness
"The team did a great job, much appreciated.",disappointment
This product makes me feel so joyful and carefree!,embarrassment
I desire a better version of this app.,pride
"Finally, something that works! I'm relieved.",gratitude
Why would they change this? It's confusing now.,sadness
Sad to see that the app no longer supports my device.,excitement
"I'm so happy with the new design, it looks fantastic!",desire
"Can't believe how great the service was, really impressed.",excitement
"I'm curious about the new release, it sounds interesting.",pride
"So excited about the upcoming features, can't wait to try them!",admiration
"Finally, something that works! I'm relieved.",surprise
I'm angry that they ignored our feedback.,annoyance
Sad to see that the app no longer supports my device.,admiration
"This update is so frustrating, nothing works.",anger
This is the worst feature they've ever added.,caring
"Feeling nervous about the new update, hope it goes well.",neutral
"Feeling nervous about the new update, hope it goes well.",neutral
Sad to see that the app no longer supports my device.,confusion
"This update is so frustrating, nothing works.",joy
"Feeling nervous about the new update, hope it goes well.",embarrassment
Why would they change this? It's confusing now.,relief
"Finally, something that works! I'm relieved.",sadness
"So excited about the upcoming features, can't wait to try them!",surprise
"This update is so frustrating, nothing works.",grief
"Finally, something that works! I'm relieved.",gratitude
"I'm so happy with the new design, it looks fantastic!",grief
Why would they change this? It's confusing now.,admiration
